description,command
allow incoming TCP traffic on port 993,iptables -A INPUT -p tcp --dport 993 -j ACCEPT <eos>
block incoming TCP traffic on port 443,iptables -A INPUT -p tcp --dport 443 -j DROP <eos>
block incoming TCP traffic on port 444,iptables -A INPUT -p tcp --dport 444 -j DROP <eos>
block incoming TCP traffic on port 445,iptables -A INPUT -p tcp --dport 445 -j DROP <eos>
block incoming TCP traffic on port 446,iptables -A INPUT -p tcp --dport 446 -j DROP <eos>
block incoming TCP traffic on port 447,iptables -A INPUT -p tcp --dport 447 -j DROP <eos>
block incoming TCP traffic on port 448,iptables -A INPUT -p tcp --dport 448 -j DROP <eos>
block incoming TCP traffic on port 449,iptables -A INPUT -p tcp --dport 449 -j DROP <eos>
block incoming TCP traffic on port 450,iptables -A INPUT -p tcp --dport 450 -j DROP <eos>
block incoming TCP traffic on port 451,iptables -A INPUT -p tcp --dport 451 -j DROP <eos>
block incoming TCP traffic on port 452,iptables -A INPUT -p tcp --dport 452 -j DROP <eos>
block incoming TCP traffic on port 453,iptables -A INPUT -p tcp --dport 453 -j DROP <eos>
block incoming TCP traffic on port 454,iptables -A INPUT -p tcp --dport 454 -j DROP <eos>
block incoming TCP traffic on port 455,iptables -A INPUT -p tcp --dport 455 -j DROP <eos>
block incoming TCP traffic on port 456,iptables -A INPUT -p tcp --dport 456 -j DROP <eos>
block incoming TCP traffic on port 457,iptables -A INPUT -p tcp --dport 457 -j DROP <eos>
block incoming TCP traffic on port 458,iptables -A INPUT -p tcp --dport 458 -j DROP <eos>
block incoming TCP traffic on port 459,iptables -A INPUT -p tcp --dport 459 -j DROP <eos>
block incoming TCP traffic on port 460,iptables -A INPUT -p tcp --dport 460 -j DROP <eos>
block incoming TCP traffic on port 461,iptables -A INPUT -p tcp --dport 461 -j DROP <eos>
block incoming TCP traffic on port 462,iptables -A INPUT -p tcp --dport 462 -j DROP <eos>
block incoming TCP traffic on port 463,iptables -A INPUT -p tcp --dport 463 -j DROP <eos>
block incoming TCP traffic on port 464,iptables -A INPUT -p tcp --dport 464 -j DROP <eos>
block incoming TCP traffic on port 465,iptables -A INPUT -p tcp --dport 465 -j DROP <eos>
block incoming TCP traffic on port 466,iptables -A INPUT -p tcp --dport 466 -j DROP <eos>
block incoming TCP traffic on port 467,iptables -A INPUT -p tcp --dport 467 -j DROP <eos>
block incoming TCP traffic on port 468,iptables -A INPUT -p tcp --dport 468 -j DROP <eos>
block incoming TCP traffic on port 469,iptables -A INPUT -p tcp --dport 469 -j DROP <eos>
block incoming TCP traffic on port 470,iptables -A INPUT -p tcp --dport 470 -j DROP <eos>
block incoming TCP traffic on port 471,iptables -A INPUT -p tcp --dport 471 -j DROP <eos>
block incoming TCP traffic on port 472,iptables -A INPUT -p tcp --dport 472 -j DROP <eos>
block incoming TCP traffic on port 473,iptables -A INPUT -p tcp --dport 473 -j DROP <eos>
block incoming TCP traffic on port 474,iptables -A INPUT -p tcp --dport 474 -j DROP <eos>
block incoming TCP traffic on port 475,iptables -A INPUT -p tcp --dport 475 -j DROP <eos>
block incoming TCP traffic on port 476,iptables -A INPUT -p tcp --dport 476 -j DROP <eos>
block incoming TCP traffic on port 477,iptables -A INPUT -p tcp --dport 477 -j DROP <eos>
block incoming TCP traffic on port 478,iptables -A INPUT -p tcp --dport 478 -j DROP <eos>
block incoming TCP traffic on port 479,iptables -A INPUT -p tcp --dport 479 -j DROP <eos>
block incoming TCP traffic on port 480,iptables -A INPUT -p tcp --dport 480 -j DROP <eos>
block incoming TCP traffic on port 481,iptables -A INPUT -p tcp --dport 481 -j DROP <eos>
block incoming TCP traffic on port 482,iptables -A INPUT -p tcp --dport 482 -j DROP <eos>
block incoming TCP traffic on port 483,iptables -A INPUT -p tcp --dport 483 -j DROP <eos>
block incoming TCP traffic on port 484,iptables -A INPUT -p tcp --dport 484 -j DROP <eos>
block incoming TCP traffic on port 485,iptables -A INPUT -p tcp --dport 485 -j DROP <eos>
block incoming TCP traffic on port 486,iptables -A INPUT -p tcp --dport 486 -j DROP <eos>
block incoming TCP traffic on port 487,iptables -A INPUT -p tcp --dport 487 -j DROP <eos>
block incoming TCP traffic on port 488,iptables -A INPUT -p tcp --dport 488 -j DROP <eos>
block incoming TCP traffic on port 489,iptables -A INPUT -p tcp --dport 489 -j DROP <eos>
block incoming TCP traffic on port 490,iptables -A INPUT -p tcp --dport 490 -j DROP <eos>
block incoming TCP traffic on port 491,iptables -A INPUT -p tcp --dport 491 -j DROP <eos>
block incoming TCP traffic on port 492,iptables -A INPUT -p tcp --dport 492 -j DROP <eos>
block incoming TCP traffic on port 493,iptables -A INPUT -p tcp --dport 493 -j DROP <eos>
block incoming TCP traffic on port 494,iptables -A INPUT -p tcp --dport 494 -j DROP <eos>
block incoming TCP traffic on port 495,iptables -A INPUT -p tcp --dport 495 -j DROP <eos>
block incoming TCP traffic on port 496,iptables -A INPUT -p tcp --dport 496 -j DROP <eos>
block incoming TCP traffic on port 497,iptables -A INPUT -p tcp --dport 497 -j DROP <eos>
block incoming TCP traffic on port 498,iptables -A INPUT -p tcp --dport 498 -j DROP <eos>
block incoming TCP traffic on port 499,iptables -A INPUT -p tcp --dport 499 -j DROP <eos>
block incoming TCP traffic on port 500,iptables -A INPUT -p tcp --dport 500 -j DROP <eos>
block incoming TCP traffic on port 501,iptables -A INPUT -p tcp --dport 501 -j DROP <eos>
block incoming TCP traffic on port 502,iptables -A INPUT -p tcp --dport 502 -j DROP <eos>
block incoming TCP traffic on port 503,iptables -A INPUT -p tcp --dport 503 -j DROP <eos>
block incoming TCP traffic on port 504,iptables -A INPUT -p tcp --dport 504 -j DROP <eos>
block incoming TCP traffic on port 505,iptables -A INPUT -p tcp --dport 505 -j DROP <eos>
block incoming TCP traffic on port 506,iptables -A INPUT -p tcp --dport 506 -j DROP <eos>
block incoming TCP traffic on port 507,iptables -A INPUT -p tcp --dport 507 -j DROP <eos>
block incoming TCP traffic on port 508,iptables -A INPUT -p tcp --dport 508 -j DROP <eos>
block incoming TCP traffic on port 509,iptables -A INPUT -p tcp --dport 509 -j DROP <eos>
block incoming TCP traffic on port 510,iptables -A INPUT -p tcp --dport 510 -j DROP <eos>
block incoming TCP traffic on port 511,iptables -A INPUT -p tcp --dport 511 -j DROP <eos>
block incoming TCP traffic on port 512,iptables -A INPUT -p tcp --dport 512 -j DROP <eos>
block incoming TCP traffic on port 513,iptables -A INPUT -p tcp --dport 513 -j DROP <eos>
block incoming TCP traffic on port 514,iptables -A INPUT -p tcp --dport 514 -j DROP <eos>
block incoming TCP traffic on port 515,iptables -A INPUT -p tcp --dport 515 -j DROP <eos>
block incoming TCP traffic on port 516,iptables -A INPUT -p tcp --dport 516 -j DROP <eos>
block incoming TCP traffic on port 517,iptables -A INPUT -p tcp --dport 517 -j DROP <eos>
block incoming TCP traffic on port 518,iptables -A INPUT -p tcp --dport 518 -j DROP <eos>
block incoming TCP traffic on port 519,iptables -A INPUT -p tcp --dport 519 -j DROP <eos>
block incoming TCP traffic on port 520,iptables -A INPUT -p tcp --dport 520 -j DROP <eos>
block incoming TCP traffic on port 521,iptables -A INPUT -p tcp --dport 521 -j DROP <eos>
block incoming TCP traffic on port 522,iptables -A INPUT -p tcp --dport 522 -j DROP <eos>
block incoming TCP traffic on port 523,iptables -A INPUT -p tcp --dport 523 -j DROP <eos>
block incoming TCP traffic on port 524,iptables -A INPUT -p tcp --dport 524 -j DROP <eos>
block incoming TCP traffic on port 525,iptables -A INPUT -p tcp --dport 525 -j DROP <eos>
block incoming TCP traffic on port 526,iptables -A INPUT -p tcp --dport 526 -j DROP <eos>
block incoming TCP traffic on port 527,iptables -A INPUT -p tcp --dport 527 -j DROP <eos>
block incoming TCP traffic on port 528,iptables -A INPUT -p tcp --dport 528 -j DROP <eos>
block incoming TCP traffic on port 529,iptables -A INPUT -p tcp --dport 529 -j DROP <eos>
block incoming TCP traffic on port 530,iptables -A INPUT -p tcp --dport 530 -j DROP <eos>
block incoming TCP traffic on port 531,iptables -A INPUT -p tcp --dport 531 -j DROP <eos>
block incoming TCP traffic on port 532,iptables -A INPUT -p tcp --dport 532 -j DROP <eos>
block incoming TCP traffic on port 533,iptables -A INPUT -p tcp --dport 533 -j DROP <eos>
block incoming TCP traffic on port 534,iptables -A INPUT -p tcp --dport 534 -j DROP <eos>
block incoming TCP traffic on port 535,iptables -A INPUT -p tcp --dport 535 -j DROP <eos>
block incoming TCP traffic on port 536,iptables -A INPUT -p tcp --dport 536 -j DROP <eos>
block incoming TCP traffic on port 537,iptables -A INPUT -p tcp --dport 537 -j DROP <eos>
block incoming TCP traffic on port 538,iptables -A INPUT -p tcp --dport 538 -j DROP <eos>
block incoming TCP traffic on port 539,iptables -A INPUT -p tcp --dport 539 -j DROP <eos>
block incoming TCP traffic on port 540,iptables -A INPUT -p tcp --dport 540 -j DROP <eos>
block incoming TCP traffic on port 541,iptables -A INPUT -p tcp --dport 541 -j DROP <eos>
block incoming TCP traffic on port 542,iptables -A INPUT -p tcp --dport 542 -j DROP <eos>
block incoming TCP traffic on port 543,iptables -A INPUT -p tcp --dport 543 -j DROP <eos>
block incoming TCP traffic on port 544,iptables -A INPUT -p tcp --dport 544 -j DROP <eos>
block incoming TCP traffic on port 545,iptables -A INPUT -p tcp --dport 545 -j DROP <eos>
block incoming TCP traffic on port 546,iptables -A INPUT -p tcp --dport 546 -j DROP <eos>
block incoming TCP traffic on port 547,iptables -A INPUT -p tcp --dport 547 -j DROP <eos>
block incoming TCP traffic on port 548,iptables -A INPUT -p tcp --dport 548 -j DROP <eos>
block incoming TCP traffic on port 549,iptables -A INPUT -p tcp --dport 549 -j DROP <eos>
block incoming TCP traffic on port 550,iptables -A INPUT -p tcp --dport 550 -j DROP <eos>
block incoming TCP traffic on port 551,iptables -A INPUT -p tcp --dport 551 -j DROP <eos>
block incoming TCP traffic on port 552,iptables -A INPUT -p tcp --dport 552 -j DROP <eos>
